"1640781439.545063 2021-12-29 06:37:19.545062 b'{""type"":""eeg""",data:[-10.955178,29.912561,-18.996885,-31.97783,57.112854,-67.97092,-16.416756,122.060135,-133.09113,14.830208,139.09749,-268.89282,115.630165,111.59914,-166.6596,95.64419]}\r\n'
"1640781439.6480606 2021-12-29 06:37:19.648060 b'{""type"":""eeg""",data:[14.041985,9.410153,-40.56564,-35.990513,62.573597,62.87639,-50.73714,-68.3034,24.418554,175.32872,0.389444,-139.37032,-47.44938,78.61283,67.935844,-83.6453]}\r\n'
"1640781439.7400603 2021-12-29 06:37:19.740060 b'{""type"":""eeg""",data:[-10.547442,27.377455,-19.111286,-24.580185,80.86159,-74.97315,-18.75081,137.75394,-126.11762,34.051476,116.89945,-105.99278,89.26123,126.10044,-328.81024,66.497986]}\r\n'
"1640781439.8490615 2021-12-29 06:37:19.849061 b'{""type"":""eeg""",data:[3.5467434,15.04967,32.412056,42.76433,56.345673,66.804115,109.87572,84.331,58.80911,22.784424,-23.394537,-42.20276,-66.058945,-150.74263,-271.2628,-315.18396]}\r\n'
"1640781439.9470618 2021-12-29 06:37:19.947061 b'{""type"":""eeg""",data:[-13.699424,2.0390131,36.90583,-6.6597643,-80.131165,12.093245,84.073654,-19.372461,-118.05253,26.574755,178.06067,-35.55154,-68.39773,13.841193,242.12004,-32.218616]}\r\n'
"1640781440.0350626 2021-12-29 06:37:20.035062 b'{""type"":""eeg""",data:[-12.412318,-24.462368,-8.096605,42.856895,70.259155,49.70079,-38.115658,-116.89776,-89.422714,13.808054,158.8637,96.72168,23.326508,-162.53062,-64.60378,-71.80049]}\r\n'
"1640781440.1320608 2021-12-29 06:37:20.132060 b'{""type"":""eeg""",data:[5.067481,-17.515116,36.96825,-44.954678,76.74343,-90.54672,54.24176,-56.84844,14.681733,26.609037,-111.77154,134.53198,-83.87686,117.17838,-290.61255,143.66579]}\r\n'
"1640781440.2240593 2021-12-29 06:37:20.224059 b'{""type"":""eeg""",data:[3.635658,14.861279,35.462524,45.232925,82.056595,59.039066,75.02004,89.52388,41.72496,26.484623,-18.329094,-79.64119,-147.15172,-187.72589,-105.51813,-162.8]}\r\n'
"1640781440.3050966 2021-12-29 06:37:20.305096 b'{""type"":""eeg""",data:[-12.0977745,-28.063274,-8.778482,33.783768,67.436066,42.06707,-53.946404,-129.90086,-69.35659,22.724283,109.43852,60.17874,12.8794985,-64.677246,-156.65938,-99.17942]}\r\n'
"1640781440.398062 2021-12-29 06:37:20.398062 b'{""type"":""eeg""",data:[-1.8121496,9.130941,-18.690079,33.226315,-59.326923,58.730957,-90.695526,122.22776,-127.0945,84.545654,-84.08787,177.00342,-148.49883,197.53613,-71.080826,34.17507]}\r\n'
"1640781440.5130594 2021-12-29 06:37:20.513059 b'{""type"":""eeg""",data:[13.71485,1.9988385,-35.974453,-5.410799,78.13849,13.397622,-81.1058,-24.045147,169.76508,28.571342,-181.21501,-14.944513,238.04245,74.558975,-306.3199,-82.25935]}\r\n'
"1640781440.6010664 2021-12-29 06:37:20.601066 b'{""type"":""eeg""",data:[3.464638,14.533554,30.24716,57.682617,52.84573,88.88491,108.85915,65.27099,82.533844,13.030906,-18.840658,-110.2892,-179.52626,-156.9193,-283.19748,-360.9667]}\r\n'
"1640781440.6990654 2021-12-29 06:37:20.699065 b'{""type"":""eeg""",data:[-13.242312,20.884523,14.504262,-59.61536,32.095226,66.82437,-65.20439,4.0846076,114.902466,-59.506603,-31.134432,82.13206,-111.5602,-213.50395,188.97258,-1.0201772]}\r\n'
"1640781440.7900627 2021-12-29 06:37:20.790062 b'{""type"":""eeg""",data:[5.1083913,-20.070286,32.600822,-48.60739,56.736534,-96.30276,93.83146,-54.817707,26.857763,12.802428,-59.062176,122.72655,-126.90761,61.156513,-267.25418,120.99015]}\r\n'
"1640781440.8740604 2021-12-29 06:37:20.874060 b'{""type"":""eeg""",data:[3.5210826,13.546704,32.30402,42.59847,52.73588,61.948,105.62839,82.290955,82.389656,37.54313,-14.988861,-72.08734,-159.46991,-205.25055,-192.78491,-189.30002]}\r\n'
"1640781440.9940598 2021-12-29 06:37:20.994059 b'{""type"":""eeg""",data:[13.373598,15.609267,-31.706919,-55.602283,10.772885,64.76669,38.331547,-95.06474,-67.21161,58.621086,202.06554,8.911208,-180.425,-130.99963,223.80376,277.77463]}\r\n'
"1640781441.1050622 2021-12-29 06:37:21.105062 b'{""type"":""eeg""",data:[-12.052912,-28.652145,-8.3295,36.87906,56.50268,50.93398,-44.6777,-76.465935,-104.90448,33.739296,91.20499,159.38339,18.262827,-200.48828,-303.3283,-71.58361]}\r\n'
"1640781441.2270632 2021-12-29 06:37:21.227063 b'{""type"":""eeg""",data:[-10.52447,30.094017,-15.592892,-27.638586,74.491905,-71.64143,-18.034632,127.81687,-128.75095,27.048967,73.64861,-69.09242,99.56571,76.122154,-173.01772,134.95082]}\r\n'
"1640781441.34906 2021-12-29 06:37:21.349060 b'{""type"":""eeg""",data:[13.915916,2.0391562,-36.201283,-6.8525133,85.912476,8.997989,-92.81194,-23.72922,159.99545,21.805529,-121.5798,-51.471676,244.01125,41.65655,-152.78442,-93.66767]}\r\n'
"1640781441.467061 2021-12-29 06:37:21.467061 b'{""type"":""eeg""",data:[-8.447237,-24.724838,-35.422874,-42.75426,-14.348575,35.81638,74.29464,93.51735,123.56854,47.54062,-28.686623,-67.05387,-174.71384,-302.69745,-115.62511,-44.481655]}\r\n'
